	,
俈	嚳
俉	亻吾
俌	亻甫
俍	亻良
俒	亻完
俔	見
俕	亻宋
俖	亻否
俜	娉
俟	候
俢	修
俤	亻弟
俰	亻和
俲	效
俷	亻肥
俹	亞
俻	備
俼	亻育
俽	亻欣
俿	亻虎
倁	亻知
倂	併
倃	亻咎
倇	亻宛
倈	來
倎	亻典
倐	攸
倓	亻炎
倕	亻垂
倗	亻朋
倛	亻其
倞	亻京
倠	離
倣	彷
値	值
倧	亻宗
倯	亻松
倰	凌
倱	亻昆
倳	亻事
倴	亻奔
倵	亻武
倶	俱
倷	亻奈
倸	亻采
倹	儉
倻	亻耶
倽	捨
偀	亻英
偁	稱
偂	亻前
偅	亻重
偆	亻春
偊	踽
偋	亻屏
偍	亻是
偐	贗
偒	蕩
偓	亻屋
偖	亻者
偗	亻省
偘	亻品
偙	亻帝
偛	歃
偝	亻背
偟	亻皇
偠	亻要
偡	亻甚
偢	亻秋
偣	亻音
偤	亻酋
偪	逼
偫	亻待
偭	亻面
偯	亻哀
偰	亻契
鍥	金契
偱	亻盾
偳	短
偸	偷
偹	備
偺	咱
偼	倢
傁	罈
傂	亻虒
傃	亻素
傆	亻原
傇	亻茸
傉	亻辱
傍	旁
傎	亻真
傏	搪
傐	亻高
傒	亻奚
傓	亻扇
傗	亻畜
傛	亻容
傜	徭
傞	亻差
傟	亻翁
傡	並
傢	家
傫	亻累
傮	亻曹
傰	亻崩
傶	亻戚
傸	亻爽
傹	亻竟
傺	亻祭
傽	亻章
傿	亻焉
僁	亻悉
僃	備
僄	亻票
僆	 o靚
僊	仙
僐	亻善
僒	亻窘
僔	亻尊
僘	亻敞
僙	亻黃
僛	亻欺
僜	亻登
僞	偽
僠	亻番
僡	亻惠
僢	亻舜
僣	僭
僦	亻就
僪	亻矞
僬	亻焦
僯	亻粦
僰	棘
僷	亻葉
僸	亻禁
僼	體
僽	亻愁
僿	亻塞
儁	俊
儃	亻亶
儆	警
儇	環
儊	亻楚
儌	僥
儍	傻
儎	載
儓	檯
儗	擬
儘	盡
儙	亻遣
儛	亻舞
儤	亻暴
儦	鏢
儫	亻豪
儭	襯
儳	饞
儴	亻襄
儵	攸黑
儻	倘
儽	亻纍
儾	亻囊
兎	兔
児	兒
兘	台
兛	千
兝	分
兞	毛
兟	先
兠	兜
兣	厘
兦	亡
兪	俞
兲	天
兾	異
兿	藝
冂	門
冄	冉
冇	無
冋	高
冎	喎
冏	囧
冐	冒
冑	胃
冓	溝
冚	全
冝	宜
冞	米
冟	冖皂
冣	最
冦	寇
冨	富
冩	寫
冪	幕
冭	太
冮	冫工
冱	冫互
冴	互
冸	泮
冹	拔
冺	冫民
冾	洽
冿	津
凁	冫束
凂	潣
凃	塗
凅	涸
凇	冫松
凈	淨
凊	冫青
凎	冫金
凓	冫栗
凕	冫冥
凖	準
凗	冫崔
凘	冫斯
凚	冫禁
凞	冫熙
凢	凡
凣	凡
凥	居
処	處
凧	几
凨	風
凬	風
凮	百
凲	兼
凴	憑
凷	塊
凼	氹
凾	函
刄	刃
刅	創
刉	乞刂
刌	寸刂
刐	丹刂
刓	元刂
刔	決
刜	弗刂
刞	且刂
刟	召刂
刡	民刂
刢	另
刣	台刂
刦	劫
刧	劫
刱	創
刲	圭刂
刴	剁
刵	耳刂
刼	劫
剄	勁
剅	豆刂
剆	郎
剈	絹
剉	銼
剏	創
剒	昔刂
剕	非刂
剗	剷
剘	其刂
剙	創
剚	事刂
剠	京刂
剢	涿
剣	劍
剤	劑
剦	閹
剫	度刂
剬	專
剭	屋刂
剰	剩
剱	劍
剳	札
剴	豈
剶	喙
剹	翏刂
剻	崩刂
劀	刮
劁	焦刂
劄	札
劅	蜀刂
劆	鐮
劎	劍
劐	劃
劒	劍
劓	鼻刂
劔	劍
劖	饞
劘	靡刂
劙	蠡刂
劜	尤
劤	斤
劥	亢
劦	協
劧	手
劮	失
劯	石
劰	白
労	勞
劵	券
劶	力
劷	羊
劸	圭
効	效
劺	勉
劽	力
勀	克
勂	告
勄	敏
勅	敕
勆	良
勈	勇
勊	剋
勌	卷
勏	力
勑	敕
勓	皆
勔	面
勖	朂
勗	朂
勛	勳
勜	翁
勠	翏
勡	票
勦	剿
勧	勸
勨	象
勫	番
勬	縢
勭	童
勮	據
勯	亶
勰	協
勲	動灬
勶	徹
勷	襄
勹	包
勼	九
勽	抱
匃	丐
匄	丐
匈	胸
匊	掬
匋	陶
匌	合
匎	奄
匏	包
匑	躬
匒	塔
匘	腦
匛	久
匜	也
匝	迊
匞	匹
匟	亢
匢	勿
匤	玉
匥	辯
匧	篋
匩	匡山
匬	俞
匱	櫃
匲	區
匳	區
匴	算
匵	櫝
匷	瞿
匼	合
卂	迅
卄	廿
卆	卒
卋	世
単	單
卙	甚
卛	率
卩	部
卪	部
卬	仰
卭	工
卮	巵
卶	多
卹	恤
卼	危
卽	即
厀	膝
厊	牙
厎	砥
厏	乍
厒	罄
厓	涯
厔	至
厖	龐
厗	辛
厛	廳
厜	垂
厞	非
厠	廁
厤	曆
厧	真
厪	堇
厫	敖
厯	歷
厰	廠
厳	嚴
厵	源
厶	私
厷	肱
厸	鄰
厹	雲
厺	去
厾	戳
叄	三
叅	參
収	收
叏	支
叐	友
叒	又
叓	支口
叚	假
叜	罈
叝	及
叡	睿
叧	另
叴	九
叺	o入
叿	o工
吀	羋
吂	亡
吅	喧
吇	o子
吋	寸
吓	 o下
吖	丫
吘	o午
吙	o火
吚	o尹
吜	o丑
吢	心口
吤	o介
吥	o不
吪	o化
吺	股
吿	告
呁	o勻
呄	古
呅	o文
呉	吳
呌	o斗
呏	o升
呑	吞
呞	o司
呟	o玄
呡	o吻
呣	o母
呥	o冉
呧	o氐
呩	o示
呪	o咒
呫	o占
呬	o四
呭	o世
呮	o只
呰	此口
呱	o瓜
呹	o失
呾	o旦
咀	嘴
咅	呸
咈	o弗
咉	o央
咊	o和
咋	炸
咍	o台
咑	o打
咓	o瓦
咗	 o左
咘	o布
咟	o百
咠	o耳
咡	o耳
咥	嘻
咮	o朱
咰	o旬
咲	笑
咴	o灰
咷	o啕
咹	o安
咼	喎
咿	o伊
哂	曬
哃	o同
哅	胸
哊	o有
哋	 o地
哏	o艮
哐	o匡
哚	o朵
哞	o牟
哠	o告
哫	o足
哬	o何
哰	o牢
哱	o勃
哳	o折
哴	o亮
哵	o別
哶	o咩
哸	o妥
哹	o孚
哻	o旱
哾	女兌
哿	加可
唀	o秀
唃	o角
唅	o含
唈	o邑
唊	o夾
唋	o余
唌	涎
唍	o完
唒	酉
唓	 o車
唕	o早
唖	啞
唗	o走
唙	o狄
唞	o抖
唠	勞
唣	o皂
唥	o冷
唦	o沙
唨	o阻
唩	o委
唫	吟
唬	諕
唭	o其
唰	o刷
唲	o兒
唳	淚
唴	羌
唶	o昔
唸	念
唹	唷
唺	o典
唼	o妾
唽	o析
啂	o乳
啈	o幸
啌	o空
啍	o敦
啎	忤
啑	倢
啒	o屈
啓	啟
啔	啟
啗	啖
啘	宛
啛	o妻
啝	o和
啢	o兩
啣	銜
啨	青
啩	掛
啫	姐
啲	 o啲
啳	o卷
啽	o弇
啿	o甚
喅	昱
喆	哲
喈	o皆
喍	o柴
喏	o若
喐	o郁
喒	咱
喓	o要
喕	o面
喖	o枯
喛	o暖
喞	o唧
喠	o重
喢	o歃
喣	詬
喤	o皇
喥	o度
喨	o亮
喩	喻
喫	吃
喭	唁
喯	o奔
喰	餐
喲	唷
喴	o威
営	營
喺	 o係
喼	篋
嗁	啼
嗃	o高
嗈	噰
嗊	o貢
嗋	o脅
嗍	索
嗏	搽
嗐	o害
嗕	o辱
嗗	o骨
嗘	o奚
嗙	o旁
嗠	孚各
嗢	婦
嗥	嚎
嗬	呵
嗮	曬
嗰	 o個
嗱	拿
嗵	o通
嗸	敖口
嗺	催
嗻	處
嗼	o莫
嗾	o族
嘂	叫
嘃	o庸
嘆	歎
嘊	涯
嘋	o教
嘏	福
嘐	o翏
嘑	呼
嘒	o彗
嘓	o國
嘕	o焉
嘙	o婆
嘚	o得
嘝	o斛
嘞	喇
嘡	o堂
嘢	 o野
嘦	要
嘨	嘯
嘫	o然
嘬	o最
嘵	o堯
嘷	嚎
嘽	o單
嘾	o覃
噀	o巽
噂	譐
噄	潔
噅	o為
噇	o童
噈	o就
噉	咁
噊	譎
噋	敦
噍	嚼
噐	器
噑	嚎
噒	吮
噕	o為
噖	琴
噝	絲
噡	詹
噣	蜀
噦	𧬨
噭	皎
噮	環
噳	虞
噵	道
噶	架
噷	歆
噺	 o新
噼	劈
噽	喜
噿	翠
嚁	翟
嚄	獲
嚊	鼻
嚌	齊
嚔	嚏
嚖	慧
嚗	暴
嚘	憂
嚙	咬
嚚	囂
嚜	 o墨
嚟	黎
嚠	瀏
嚡	 o鞋
嚢	囊
嚤	摩
嚥	咽
嚫	親
嚬	顰
嚭	喜
嚯	霍
嚰	磨
嚲	單
嚵	饞
嚹	喇
嚻	囂
嚾	貛
嚿	舊
囄	離
囅	展
囇	曬
囌	蘇
囓	咬
囖	囉
囗	口
囘	回
囜	雲
囟	顖
団	團
囥	亢
囦	淵
囨	不
囩	云
囪	窗
囬	回
囮	讍
囯	國
囱	窗
囲	圍
図	圖
囷	禾
囸	正
囻	民
囼	台
圀	國
圁	言
圂	口
圃	甫
圅	函
圉	幸
圊	青
圌	專
圎	圓
圏	圈
圑	甫
圔	蓋
圗	圖
圝	圞
圠	尤
圡	土
圢	平
圤	土卜
圥	堯
圧	壓
圪	土乞
圬	杇
圮	土己
圱	千土
圲	土千
圵	土上
圶	大土
圻	土垠
圼	土
圽	土勿
圿	土介
坁	土氏
坃	土元
坄	股
坅	土今
坆	土墳
坈	土坑
坉	土屯
坋	土分
坌	分土
坒	比土
坓	型土
坔	地土
坕	爪土
坖	元土
坘	土互
坙	經
坢	土半
坥	土且
坧	土石
坩	土甘
坫	土店
坬	土瓜
坭	土泥
坮	土台
坯	土壞
坰	土高
坱	土央
坲	土弗
坵	土丘
坶	土母
坸	土句
坹	土穴
坺	土拔
坽	土令
坿	土付
垀	土乎
垁	土矢
垇	土凹
垉	土包
垍	土自
垎	土各
垏	土聿
垐	次土
垑	土多
垓	陔
垕	后土
垗	土兆
垘	土伏
垙	土光
垚	堯
垜	土朵
垝	土危
垞	土宅
垟	土羊
垡	伐土
垤	土至
垥	土合
垧	土向
垨	土守
垩	聖
垬	土共
垶	土辛
垸	土完
垹	土邦
垺	土孚
垻	壩
垼	役土
垽	沂土
垾	土旱
垿	土序
埀	乘土
埁	岑
埅	防土
埆	土角
埈	俊
埊	地
埍	絹
埏	土延
埑	折土
埒	埓
埛	商
埜	野
埝	念
埞	訂
埡	土亞
埢	土卷
埣	土卒
埤	土卑
埥	土青
埦	土宛
埧	土具
埪	土空
埫	土尚
埮	土炎
埰	土采
埱	土叔
埲	土奉
埳	坎
埴	土直
埵	土垂
埶	藝
埸	場
埻	𡓑
埼	崎
埽	掃
埾	取土
埿	泥土
堁	土果
堃	坤
堄	土兒
堈	缸
堉	土育
堌	土固
堎	凌
堑	塹
堓	土岸
堗	土突
堘	塍
堙	陻
堛	富
堜	柬
堝	喎
堟	喙
堠	𡎇
堢	土保
堣	土禺
堥	婺
堦	階
堨	土曷
堩	土恆
堬	土俞
堭	隍
堲	即土
堳	土眉
堷	土音
堹	土重
堺	土界
堻	津
堼	封土
堽	土罡
堾	土春
堿	土鹼
塂	土巷
塃	土荒
塅	土段
塇	土宣
塈	既土
塉	土脊
塎	土容
塐	塑
塒	時
塓	土冥
塕	土翁
塖	土乘
塙	土高
塚	冢
塛	土栗
塜	逢
塝	旁
塟	葬
塠	土追
塡	填
塤	壎
塥	粥
塧	土益
塨	土恭
塩	鹽
塪	土舀
塭	搵
塮	射
塯	留
塲	場
塳	逢
塴	堋
塶	鹿
塸	區
塺	麻
塻	莫
塼	磚
塾	孰
塿	樓
墁	土曼
墂	土票
墄	土戚
墈	磡
墉	牗
墌	庶
墍	既
墎	郭
墐	菫
墑	嘀
墒	土商
墔	土崔
墕	土焉
墖	塔
増	增
墘	乾
墚	梁
墝	堯
墡	善
墤	貴
墥	童
墦	番
墪	敦
墫	樽
墬	地
墭	盛
墯	惰
墰	罈
墱	登
墴	黃
墺	奧
墻	牆
墼	鑿
墽	皎
壀	辟
壂	殿
壃	僵
壄	懋
壅	擁
壉	據
壊	壞
壋	當
壌	壤
壍	塹
壐	璽
壒	蓋
壖	需
壙	廣
壛	閻
壜	罈
壡	睿
壦	貛
壧	岩
売	賣
壷	壺
壹	一
壻	婿
壾	巨
壿	尊
夀	壽
夅	降
夆	丰
変	變
夊	止
夋	雲
夎	坐
夐	敻
夒	獿
夓	夏
夗	夕
夘	卯
夛	多
夝	生
夡	多
夣	夢
夦	甚
夨	女
夲	本
夳	大
夵	大
夶	並
夼	川
夽	云
夿	巴
奂	煥
奃	氐
奅	卯
奆	巨
奌	點
奒	亥
奓	多
奘	壯
奛	明
奜	非
奝	周
奞	奎
奟	朋
奣	明
奤	面
奦	務
奨	獎
奩	區
奬	獎
奯	歲
奵	丁
奷	千
奺	久
奻	女女
奾	姍
奿	丸女
妀	妃
妋	女夫
妌	女井
妎	女介
妏	女文
妐	女公
妑	女巴
妔	女亢
妕	女中
妘	女云
妚	女不
妟	晏
妠	女內
妦	女丰
妧	女元
妬	妒
妭	拔
妰	女乍
妱	女召
妶	女玄
妼	女必
妽	女申
妿	加女
姀	女禾
姁	女句
姂	女乏
姄	女民
姅	女半
姇	付女
姉	姊
姌	女冉
姎	女央
姏	女甘
姕	此女
姖	女巨
姙	女任
姛	女同
姞	女吉
姟	女亥
姠	女向
姡	女舌
姢	娟
姤	女后
姩	女年
姫	姬
姯	女光
姰	女旬
姲	女安
姳	女名
姴	列女
姶	女合
姷	女有
姸	妍
姺	女先
姼	女多
姽	女危
姾	女全
娀	女戎
娂	女共
娋	女肖
娍	女成
娎	折女
娒	女每
娔	女克
娕	女束
娖	女女
娗	庭
娙	女經
娝	女否
娞	女妥
娡	女志
娢	女含
娦	女兵
娧	女兌
娨	女旱
娪	女吾
娫	女延
娬	女武
娭	女矣
娮	女言
娯	娛
娰	女似
娴	嫺
娵	女取
娷	女垂
娹	女弦
娿	女柯
婂	女帛
婃	女宗
婄	蓓
婇	女采
婈	女凌
婋	女虎
婌	女叔
婍	女奇
婎	女隹
婏	女兔
婐	女果
婑	女委
婒	女炎
婓	飛
婖	女忝
婗	女兒
婘	女卷
婛	女京
婝	女定
婟	女固
婠	女官
婣	姻
婤	女周
婩	女岸
婫	女昆
婬	淫
婰	女典
婱	弦女
婹	女要
婻	女南
婼	女若
婽	女假
婾	女俞
媀	女禺
媂	女帝
媃	女柔
媄	女美
媅	女甚
媆	嫩
媇	親
媉	女屋
媊	女前
媋	女春
媌	女苗
媍	女婦
媎	女者
媏	女端
媑	女重
媓	女皇
媔	女面
媕	女弇
媗	女宣
媙	女威
媝	秋女
媡	女柬
媢	女冒
媣	女染
媤	女思
媥	女扁
媦	女胃
媨	女酋
媩	女胡
媮	女俞
媯	女為
媴	女袁
媶	女茸
媷	女辱
媸	女蚩
媹	女留
媻	般女
媿	女愧
嫀	女秦
嫄	女原
嫅	女差
嫆	女容
嫇	女冥
嫊	女素
嫋	裊
嫍	女舀
嫎	女旁
嫏	姥
嫐	嬲
嫑	不要
嫕	嫛
嫘	女累
嫙	女旋
嫜	女章
嫝	女康
嫞	女庸
嫟	女匿
嫤	女菫
嫪	女翏
嫫	女莫
嫬	女庶
嫭	女罅
嫮	女雩
嫯	敖女
嫰	嫩
嫳	敝女
嫴	女辜
嫵	女無
嫶	女焦
嫷	女隋
嫸	女善
嫹	女黃
嫻	嫺
嫼	女墨
嫽	女僚
嫾	女粦
嫿	女畫
嬀	女為
嬁	女登
嬃	須女
嬆	女翕
嬏	女番
嬑	女意
嬓	女皎
嬘	女遂
嬚	女廉
嬝	裊
嬞	女董
嬢	娘
嬤	嫲
嬥	女翟
嬨	女慈
嬬	女需
嬭	奶
嬺	女慝
嬾	女懶
孀	霜
孁	靈
孂	簋
孃	娘
孉	女歡
孊	女靡
孒	孓
孞	子心
孠	司子
孡	胎
孬	不好
孭	背
孳	孶
孹	辟子
孼	孽子
孾	子嬰
宂	冗
宆	弓
宊	犬
宍	肉
宎	夭
宐	宜
宑	井
宒	毛
宔	主
宖	弘
実	實
宨	兆
宩	審
宬	成
宭	君
宯	孝
宱	作
宲	呆
宷	釆
宻	密
宼	寇
寀	采
寁	倢
寃	冤
寈	青
寉	鶴
寍	寧
寏	煥
寑	侵
寔	實
寕	寧
寗	寧
寘	置
寛	寬
寜	寧
寠	婁
寭	惠
寯	雋
寲	疑
寳	寶
寷	豐
寽	受
対	對
尀	叵
専	專
尃	敷
尅	剋
尐	 o啲
尒	爾
尓	爾
尕	乃
尗	叔
尙	尚
尜	嘎
尟	是
尠	鮮
尣	兀
尥	尦
尨	龍
尩	王
尪	王
尫	王
尭	堯
尮	朵
尯	危
尰	腫
尲	尷
尳	骨
屇	田
屒	辰
屔	尼
屖	辛
屘	尾
屚	尸
屛	屏
屝	非
屣	徙
屩	蹺
屪	僚
屭	悶
屳	全
屴	力
屸	工
屼	兀
屽	干
屾	山
岀	出
岄	山
岅	反
岆	夭
岇	仰
岈	牙
岉	勿
岊	巴
岋	及
岎	分
岏	元
岐	歧
岒	今
岓	斤
岜	巴
岝	乍
岞	乍
岟	央
岠	巨
岡	崗
岢	可
岣	句
岤	穴
岥	皮
岧	召
岨	且
岪	弗
岮	它
岯	丕
岲	兄
岴	丘
岵	古
岶	白
岹	召
岺	岑
岻	氐
峀	岫
峁	卯
峂	冬
峆	合
峈	各
峉	各
峌	至
峍	帚
峎	艮
峏	而
峐	亥
峑	全
峒	洞
峓	夷
峔	老
峖	安
峗	危
峛	列
峜	企
峝	同
峞	危
峟	有
峢	列
峧	交
峨	峩
峫	邪
峬	甫
峮	君
峯	峰
峱	丑
峲	利
峳	攸
峵	宏
峷	辛
峸	成
峹	余
峺	硬
峼	告
峾	沂
峿	吾
崀	良
崅	角
崈	崇
崉	踏
崋	華
崌	居
崍	來
崏	昏
崐	崑
崒	卒
崓	固
崕	涯
崖	涯
崘	崙
崜	垂
崝	青
崞	享
崟	嶔
崡	函
崣	委
崥	卑
崪	卒
崫	屈
崬	東
崮	固
崯	金
崲	皇
崳	俞
崶	封
崷	酋
崹	帝
崺	施
崻	待
崼	是
崾	要
嵀	柱
嵁	甚
嵂	律
嵄	美
嵅	咸
嵆	嵇
嵈	爰
嵉	亭
嵍	婺
嵎	禺
嵑	曷
嵒	岩
嵓	品
嵔	畏
嵖	查
嵗	歲
嵛	俞
嵟	崔
嵠	谿
嵡	翁
嵢	倉
嵣	唐
嵥	桀
嵧	留
嵭	旁
嵮	真
嵯	差
嵰	兼
嵱	容
嵲	臬
嵳	差
嵴	脊
嵹	強
嵺	翏
嶀	雩
嶁	婁
嶃	磛
嶄	巉
嶅	敖
嶆	曹
嶉	唯
嶊	推
嶋	島
嶌	島
嶍	習
嶎	蔚
嶐	窿
嶑	象
嶒	曾
嶕	礁
嶖	翕
嶚	僚
嶛	僚
嶝	磴
嶞	隋
嶟	尊
嶡	厥
嶣	礁
嶥	厥
嶦	詹
嶧	睾
嶯	戢
嶰	解
嶱	葛
嶳	地
嶵	罪
嶻	截
巈	鞠
巌	岩
巏	貛
巓	巔
巖	岩
巗	岩
巙	夔
巟	荒
巠	徑
巣	巢
巤	剌
巭	夫
巰	勁
巶	巳
巺	巽
巻	卷
帀	迊
帄	丁
帇	巾
帉	分
帊	巴
帋	紙
帍	戶巾
帒	袋
帓	末
帗	拔
帙	失
帞	百
帠	臼
帡	帲
帢	合
帤	如
帨	兌
帩	肖
帪	辰
帬	裙
帯	帶
帰	歸
帵	宛
帹	妾
帺	其
帾	者
帿	侯
幆	曷
幇	幫
幈	屏
幋	般
幍	舀
幎	冥
幏	家
幐	縢
幒	傯
幖	票
幘	責
幙	幕
幚	幫
幜	景
幦	辟
幨	詹
幬	壽
幭	蔑
幮	廚
幱	闌
幵	千干
庀	匕
庁	廳
庂	人
庅	麼
庈	今
庉	屯
庋	支
庌	牙
庍	斤
庎	介
庘	甲
庛	此
庝	冬
庡	衣
庢	至
庣	兆
庤	寺
庨	孝
庩	余
庪	技
庬	龐
庯	甫
庱	凌
庳	卑
庴	昔
庹	度
庻	庶
庽	寓
庿	廟
廀	搜
廃	廢
廄	廐
廅	蓋
廆	鬼
廇	留
廋	搜
廍	部
廎	頃
廏	廐
廑	菫
廒	敖
廕	蔭
廘	鹿
廜	屠
廡	無
廦	辟
廧	牆
廨	解
廩	稟
廰	廳
廱	簌
廵	巡
廷	庭
廸	迪
廹	迫
廻	迴
廼	迺
廽	迴
弁	辯
弅	分
弆	去
弈	奕
弉	壯
弌	一
弍	二
弎	三
弔	吊
弖	弓
弙	于
弚	吊
弜	強
弝	巴
弞	缺
弡	巨
弢	韜
弣	付
弤	氐
弨	召
弫	臣
弰	肖
弲	絹
弳	勁
弴	𢐻
弶	鉗
弸	朋
弾	彈
彀	弓
彂	發
彉	黃
彋	環
彏	矍
彚	彙
彛	粉
彜	粉
彝	粉
彞	粉
彠	獲
彫	雕
彮	容
彯	票
彲	麗
彴	勺
彵	也
彶	及
彸	公
彺	王
彾	令
徂	且
徃	往
徆	西
徍	圭
徎	呈
徏	陟
従	從
徖	宗
徛	奇
徝	直
徟	周
徠	來
徢	倢
徣	昔
徤	健
徦	假
徧	遍
徨	遑
徬	旁
徯	奚
徱	票
徲	犀
徳	德
徴	徵
徶	敝
徸	童
徺	僥
徼	皎
忀	襄
忂	瞿
忇	忄力
忈	仁
忉	忄刀
忊	忄丁
忋	忄己
忎	仁
忓	忄干
忔	忄乞
忕	忄大
忚	忄也
忛	帆
応	應
忞	暋
忢	五
忣	忄及
忦	忄介
忨	忄元
忩	怱
忬	忄予
忭	辯
忯	忄氐
忰	悴
忲	忄太
忳	忄屯
忴	忄今
忶	忄云
忷	兇
忹	忄王
忺	缺
忻	欣
忼	慷
怇	忄巨
怈	忄世
怉	忄包
怊	忄召
怋	忄民
怌	懷
怐	忄句
怑	忄半
怓	忄奴
怗	忄占
怘	古
怚	忄且
怞	忄由
怟	忄氐
怢	忄失
怣	失
怤	付
怬	忄四
怭	忄必
怮	忄幼
怰	忄玄
怲	忄丙
怳	恍
怶	忄皮
怷	朮
怸	悉
怹	他
怼	譈
恀	忄多
恂	悛
恄	忄吉
恅	忄老
恇	忄匡
恈	忄牟
恉	忄旨
恊	協
恌	忄兆
恎	忄至
恏	好
恑	忄危
恓	忄西
恔	忄交
恖	思
恘	忄休
恛	忄回
恜	忄式
恞	忄夷
恟	胸
恠	怪
恡	吝
恦	忄向
恧	而
恮	忄全
恵	惠
悀	湧
悁	環
悆	余
悇	忄余
悈	忄戒
悊	哲
悋	忄吝
悎	忄告
悐	惕
悑	忄甫
悗	忄免
悙	忄亨
悜	忄呈
悝	忄里
悞	誤
悡	利
悢	忄良
悤	聰
悥	意
悧	忄利
悰	忄宗
悳	德
悷	忄戾
悹	官
悺	忄官
悽	淒
悾	忄空
悿	忄忝
惁	析
惂	焰
惃	忄昆
惄	叔
惈	忄果
惉	沾
惌	宀怨
惍	忄金
惎	其
惏	忄林
惐	忄或
惒	和
惓	忄卷
惔	忄炎
惖	易
惗	忄念
惛	惽
惞	忄欣
惣	總
惤	忄弦
惥	臾
惪	德
惷	蠢
惼	忄扁
惿	忄是
愂	悖
愃	喧
愄	忄畏
愅	忄革
愊	富
愋	援
愍	憫
愑	湧
愒	憩
愖	忄甚
愗	婺
愘	忄客
愙	客
愝	偃
愡	忄怱
愢	忄思
愨	慤
愬	訴
愭	忄耆
愯	忄隻
愰	忄晃
愱	忄疾
愲	忄骨
愵	忄弱
愶	忄脅
愹	忄容
愺	忄草
愻	遜
愼	慎
愽	博
慀	忄奚
慂	恿
慃	忄翁
慅	忄蚤
慆	忄舀
慉	忄畜
慏	忄冥
慒	忄曹
慔	忄莫
慗	敕
慙	慚
慛	催
慜	敏
慞	忄章
慠	忄敖
慡	忄爽
慦	救
慪	嘔
慼	慽
憀	忄翏
憁	傯
憃	舂
憅	慟
憆	忄堂
憇	憩
憈	虛
憉	忄彭
憏	忄祭
憒	貴
憕	忄登
憘	忄喜
憙	喜
憛	忄覃
憜	忄隋
憝	譈
憞	忄敦
憟	忄粟
憠	厥
憡	忄策
憣	忄番
憭	僚
憯	僭
憰	譎
憱	忄就
憵	辟
憷	忄楚
憸	撿
憺	忄詹
憻	忄亶
憼	警
憽	忄葱
憿	皎
懁	環
懃	勤
懄	忄勤
懅	據
懍	稟
懏	忄雋
懐	懷
懗	嚇
懜	懵
懝	忄疑
懞	忄蒙
懣	悶
懤	愁
懥	懫
懩	忄養
懪	忄暴
懮	忄憂
懯	敷
懱	忄蔑
懴	懺
懹	忄襄
懻	忄冀
懽	歡
戁	恐
戂	忄靡
戄	忄矍
戆	戅
戉	鉞
戓	或
戙	棟
戜	呈
戝	賊
戞	戛
戠	音
戣	癸
戤	盈
戥	鄧
戦	戰
戧	創
戨	哥
戫	有
戭	寅
戱	戲
戵	瞿
户	戶
戸	戶
戹	厄
戺	巳
戻	淚
戼	卯
戽	富
戾	淚
扂	占
扃	高
扄	向
扅	炎
扊	炎
扏	扌九
扐	朸
扗	捋
扙	扌丈
扚	的
扛	摃
扜	扝
扞	擀
扡	扌也
扢	扌乞
扤	壓
扨	刃
扱	扌及
扴	扌介
扵	於
扸	析
扺	抵
扻	坎
扽	凳
抁	扌允
抂	捋
抃	拚
抇	捋
抈	捋
抉	決
抋	捋
抌	舀
抍	拯
抎	扌云
抏	扌元
抐	扌內
抔	扌不
抙	扌手
抜	拔
抝	拗
択	擇
抧	扌只
抩	扌冉
抪	扌布
抯	揸
抰	扌央
抲	扌可
抳	扌尼
抴	扌世
抶	扌失
抷	扌丕
抸	扌乏
抻	伸
抾	扌去
拀	扌兄
拁	扌加
拃	搾
拈	掂
拊	撫
拏	拿
拕	拖
拝	拜
拞	扌丘
拠	據
拡	擴
拪	扌西
拫	扌艮
拰	扌任
拲	手
拴	揎
拵	扌存
拶	桚
拸	扌多
拺	棘
拻	扌灰
挃	扌至
挄	扌光
挆	挅
挊	弄
挋	扌臣
挏	扌同
挐	拿
挒	扌列
挓	扌宅
挔	扌衣
挗	扌夷
挙	舉
挩	兌
挬	勃
挭	梗
挮	扌弟
挰	扌呈
挱	挲
挴	扌每
挵	扌弄
挶	扌局
挻	扌延
挼	挪
挿	插
捁	扌告
捂	掩
捄	扌求
捆	綑
捇	扌赤
捈	扌余
捊	扌孚
捌	八
捒	扌束
捓	揶
捔	扌角
捖	扌完
捗	扌步
捘	俊
捚	扌里
捛	扌呂
捜	搜
捠	扌兵
捥	扌宛
捦	擒
捪	扌昏
捬	撫
捯	扌到
捰	扌果
捳	扌岳
捴	總
捵	扌典
捶	搥
捹	扌奔
捻	撚
捼	扌委
捾	扌官
捿	扌妻
掅	扌青
掇	挽
掊	剖
掋	扌底
掍	扌昆
掎	扌奇
掑	扌其
掓	扌叔
掔	緊
掕	凌
掗	呀
掜	扌兒
掝	扌或
掞	扌炎
掤	扌朋
掦	扌易
掭	扌忝
掯	扌肯
掲	結
掻	搔
掽	碰
掿	扌若
揂	扌酋
揃	扌前
揅	研
揇	扌南
揊	富
揋	扌畏
揌	扌思
揑	捏
揓	扌施
揕	扌甚
揗	循
揘	扌皇
揙	扌扁
揜	掩
揝	攢
揞	掩
揟	扌胥
揢	扌客
揤	扌即
揥	扌帝
扖	扒
揦	乸
揧	乸
揫	揪
揬	扌突
揯	恆
揰	扌重
揱	削手
揵	扌建
揷	插
揺	搖
揾	搵
搃	總
搆	構
搇	撳
搈	扌容
搉	確
搊	扌芻
搋	扠
